county;population;pct_male;pct_female;median_age;over65_pct;onerace_white;onerace_black;onerace_native;onerace_asian;onerace_pacificislands;onerace_other;hispanic_pct;non_hisp_white;non_hisp_black;`voting_pop;;;
Coconino County, Arizona;140908;50.0;50.0;30.9;11.8;64.7;1.5;26.3;1.9;0.1;1.9;13.8;54.5;1.4;109693;;;
Cole County, Missouri;76631;50.7;49.3;39.2;15.3;84.2;11.1;0.4;1.4;0.1;0.3;2.9;81.7;11.0;58343;;;
Collier County, Florida;365136;48.9;51.1;50.3;30.9;88.0;7.2;0.3;1.3;0.0;2.2;27.0;63.6;7.0;251090;;;
Collin County, Texas;939585;49.1;50.9;36.5;10.5;70.4;9.3;0.4;14.1;0.1;2.5;15.1;58.3;9.3;606908;;;
Columbia County, Florida;69299;52.1;47.9;41.2;18.2;76.3;19.6;0.1;0.8;0.1;1.9;6.0;72.9;19.2;52993;;;
Columbia County, Georgia;147450;48.8;51.2;36.2;12.6;73.5;16.9;0.6;4.3;0.0;1.0;6.6;69.5;16.6;103537;;;
Columbia County, Pennsylvania;66420;47.7;52.3;40.6;18.2;94.4;2.2;0.1;1.2;0.0;1.2;2.7;93.1;2.0;53830;;;
Columbiana County, Ohio;103685;50.8;49.2;44.2;19.1;94.5;2.7;0.2;0.0;0.0;1.1;1.6;94.1;2.7;81531;;;
Comal County, Texas;134788;49.5;50.5;42.6;18.0;89.4;2.3;0.1;1.1;0.1;5.5;26.9;68.5;2.3;100198;;;
Comanche County, Oklahoma;122136;52.2;47.8;33.3;11.6;62.5;18.6;5.4;2.2;0.2;2.3;12.7;56.4;17.0;89670;;;
Contra Costa County, California;1135127;48.9;51.1;39.5;15.0;58.0;8.6;0.3;16.2;0.4;9.2;25.4;44.3;8.2;751033;;;
Cook County, Illinois;5203499;48.6;51.4;36.5;13.6;56.1;23.5;0.3;7.1;0.0;10.3;25.3;42.3;23.3;3520005;;;
Coryell County, Texas;74686;50.6;49.4;31.7;9.8;72.1;10.6;1.3;2.2;0.7;1.1;18.0;59.1;10.3;55029;;;
Coweta County, Georgia;140526;48.6;51.4;39.0;12.6;75.5;17.9;0.1;1.2;0.1;2.4;6.8;71.3;17.7;101991;;;
Cowlitz County, Washington;105160;48.5;51.5;42.4;19.0;90.4;0.4;1.3;0.9;0.1;1.7;8.8;84.0;0.4;79956;;;
Craighead County, Arkansas;105835;49.6;50.4;34.5;13.7;79.5;14.4;0.0;1.3;0.0;2.3;4.9;76.7;14.4;77227;;;
Craven County, North Carolina;103445;51.1;48.9;37.4;18.4;69.2;19.9;0.8;3.1;0.0;2.9;7.1;65.9;19.4;78882;;;
Crawford County, Pennsylvania;86257;48.8;51.2;42.7;19.2;95.8;1.7;0.0;0.4;0.1;0.2;1.2;95.0;1.7;67377;;;
Creek County, Oklahoma;71312;49.5;50.5;40.0;17.2;79.8;1.9;11.6;0.3;0.1;0.4;4.0;76.6;1.9;53137;;;
Cullman County, Alabama;82471;49.3;50.7;40.4;18.3;95.8;1.3;0.8;0.9;0.0;0.7;4.3;92.3;1.3;63745;;;
Cumberland County, Maine;292041;48.4;51.6;42.2;17.2;92.0;2.9;0.3;2.1;0.0;0.2;2.0;90.6;2.8;229994;;;
Cumberland County, New Jersey;153797;51.2;48.8;36.8;14.6;67.4;18.7;1.3;1.5;0.0;6.7;30.2;46.8;17.7;107294;;;
Cumberland County, North Carolina;327127;49.1;50.9;32.0;11.5;49.8;38.1;1.5;2.3;0.2;2.3;11.3;43.7;36.5;236976;;;
Cumberland County, Pennsylvania;248506;49.5;50.5;40.2;17.6;87.8;4.1;0.1;4.4;0.0;1.7;3.7;86.5;3.9;191646;;;
Cuyahoga County, Ohio;1249352;47.7;52.3;40.2;17.2;62.5;29.4;0.2;2.8;0.0;1.7;5.7;59.2;29.1;953736;;;
Dakota County, Minnesota;417486;49.3;50.7;37.6;13.2;82.7;5.8;0.3;4.8;0.0;2.9;6.8;79.2;5.6;298815;;;
Dallas County, Iowa;84516;49.4;50.6;35.2;11.7;90.7;1.2;0.1;4.2;0.0;0.8;6.0;86.0;1.2;57458;;;
Dallas County, Texas;2574984;49.2;50.8;33.3;10.1;61.8;22.6;0.3;6.1;0.1;6.2;39.9;29.7;22.3;1477187;;;
Dane County, Wisconsin;531273;49.5;50.5;35.0;12.8;83.5;4.7;0.4;5.8;0.0;2.1;6.3;80.0;4.6;394131;;;
Darlington County, South Carolina;67234;46.3;53.7;41.2;17.8;N;N;N;N;N;N;1.9;N;N;51276;;;
Dauphin County, Pennsylvania;273707;48.2;51.8;39.6;15.8;70.8;19.3;0.3;4.4;0.0;2.9;8.9;66.5;17.9;204416;;;
Davidson County, North Carolina;164926;48.2;51.8;42.3;17.8;84.7;8.3;0.1;1.6;0.0;2.6;7.0;80.5;8.3;124580;;;
Davidson County, Tennessee;684410;48.1;51.9;34.2;11.5;64.6;27.4;0.2;3.8;0.1;1.6;10.1;56.3;27.3;486802;;;
Daviess County, Kentucky;99674;48.6;51.4;38.9;16.5;91.4;5.1;0.0;1.6;0.0;0.2;2.9;88.7;5.1;73398;;;
Davis County, Utah;342281;50.6;49.4;30.9;9.4;88.9;1.4;0.5;1.8;0.8;3.3;9.4;84.0;1.3;223769;;;
DeKalb County, Alabama;70900;48.7;51.3;39.8;16.7;87.6;1.5;1.2;0.1;0.1;7.2;14.3;80.7;1.5;50353;;;
DeKalb County, Georgia;740321;47.3;52.7;35.4;11.1;35.0;54.5;0.7;6.2;0.0;1.3;8.5;29.0;54.0;503333;;;
DeKalb County, Illinois;104528;50.5;49.5;30.9;11.5;83.0;7.1;0.1;2.3;0.0;4.3;11.1;76.9;7.0;77972;;;
Delaware County, Indiana;115603;48.8;51.2;35.4;16.5;87.6;7.7;0.2;1.3;0.3;0.8;2.3;86.8;7.3;92534;;;
Delaware County, Ohio;196463;49.6;50.4;38.1;12.4;88.1;3.5;0.1;5.8;0.0;0.4;2.6;85.8;3.5;137654;;;
Delaware County, Pennsylvania;563402;48.1;51.9;39.0;15.7;69.2;21.3;0.2;5.8;0.0;1.1;3.7;67.3;21.0;416017;;;
Denton County, Texas;806180;49.2;50.8;35.1;9.4;74.3;9.2;0.5;7.9;0.1;4.0;19.2;60.1;8.9;544590;;;
Denver County, Colorado;693060;50.1;49.9;34.4;11.2;75.4;9.8;0.8;3.7;0.1;6.8;30.2;54.0;9.2;492779;;;
Deschutes County, Oregon;181307;49.6;50.4;41.8;19.5;92.6;0.6;0.4;1.0;0.0;2.0;7.8;87.4;0.5;140633;;;
DeSoto County, Mississippi;175611;48.5;51.5;37.2;12.3;68.3;26.3;0.2;1.5;0.0;2.0;4.7;65.6;26.3;126890;;;
District of Columbia, District of Columbia;681170;47.5;52.5;33.9;11.6;40.7;47.1;0.3;3.9;0.0;5.5;10.9;36.3;46.4;513470;;;
Do?a Ana County, New Mexico;214207;49.3;50.7;33.5;15.2;90.8;1.7;1.2;1.1;0.0;4.0;68.0;27.7;1.6;137553;;;
Dodge County, Wisconsin;88068;52.9;47.1;42.1;17.1;96.8;1.8;0.1;0.1;0.0;0.2;4.7;92.4;1.8;69203;;;
Dorchester County, South Carolina;153773;49.0;51.0;36.3;12.9;67.1;24.6;0.7;1.8;0.0;2.1;5.2;64.0;24.6;112966;;;
Dougherty County, Georgia;90017;45.4;54.6;35.2;14.4;26.9;69.3;0.3;0.9;0.1;0.7;2.7;25.6;69.2;67096;;;
Douglas County, Colorado;328632;49.9;50.1;38.9;11.0;89.6;1.4;0.4;4.7;0.1;1.1;8.5;83.1;1.2;229710;;;
Douglas County, Georgia;142224;48.4;51.6;36.0;11.2;47.3;47.4;0.1;1.6;0.0;2.0;9.4;42.0;45.6;98862;;;
Douglas County, Kansas;119440;49.8;50.2;30.0;11.2;82.0;4.1;1.5;5.2;0.0;2.5;6.1;78.7;4.0;92297;;;
Douglas County, Nebraska;554995;49.4;50.6;34.5;12.2;80.0;11.1;0.3;3.5;0.1;2.0;12.4;70.0;11.0;378286;;;
Douglas County, Oregon;108457;49.8;50.2;47.2;24.4;92.3;0.6;1.0;0.9;0.1;0.6;5.6;88.2;0.6;85396;;;
Dubuque County, Iowa;97003;49.5;50.5;38.0;17.0;93.3;3.6;0.1;1.2;0.3;0.3;2.3;91.1;3.6;73816;;;
DuPage County, Illinois;929368;49.0;51.0;39.0;14.4;76.8;4.9;0.1;11.5;0.1;3.8;14.3;67.4;4.8;649531;;;
Durham County, North Carolina;306212;47.8;52.2;35.1;12.0;51.6;36.9;0.2;5.1;0.1;3.4;13.4;42.2;36.5;213322;;;
Dutchess County, New York;294473;49.5;50.5;41.8;16.4;79.0;10.7;0.3;3.6;0.1;3.1;12.0;71.3;10.0;224156;;;
Duval County, Florida;926255;48.5;51.5;36.1;13.5;60.5;29.3;0.2;4.3;0.0;1.8;9.2;53.8;29.0;681544;;;
East Baton Rouge Parish, Louisiana;447037;47.7;52.3;33.3;13.1;47.0;46.0;0.1;3.3;0.0;1.9;4.0;45.0;45.9;332833;;;
Eaton County, Michigan;109160;49.0;51.0;40.9;17.1;87.1;5.5;0.5;1.9;0.2;1.0;5.2;83.1;5.4;83995;;;
Eau Claire County, Wisconsin;102965;49.5;50.5;34.2;14.6;92.5;0.7;0.4;4.5;0.0;0.2;2.3;90.4;0.7;80130;;;
Ector County, Texas;157462;50.9;49.1;30.4;9.6;85.3;4.9;0.7;1.1;0.0;5.5;59.7;33.5;4.3;98883;;;
El Dorado County, California;185625;50.3;49.7;46.1;19.2;87.5;1.0;1.3;4.8;0.2;2.0;12.8;77.7;1.0;139547;;;
El Paso County, Colorado;688284;50.6;49.4;33.9;12.1;80.3;6.3;0.5;2.7;0.4;3.7;16.7;69.8;6.0;497966;;;
El Paso County, Texas;837918;49.1;50.9;32.1;11.9;80.5;3.6;0.6;1.3;0.0;11.4;82.2;12.3;3.2;493973;;;
Elkhart County, Indiana;203781;49.4;50.6;36.2;13.9;88.8;5.5;0.5;1.1;0.2;1.6;15.5;75.0;5.5;135512;;;
Ellis County, Texas;168499;49.4;50.6;36.1;12.6;83.8;9.8;0.7;0.8;0.0;1.4;25.9;61.8;9.4;114669;;;
Elmore County, Alabama;81799;48.8;51.2;38.3;14.7;N;N;N;N;N;N;1.0;73.4;24.1;62725;;;
Erie County, New York;921046;48.4;51.6;40.0;17.1;78.1;13.3;0.5;3.7;0.0;2.0;5.3;75.8;12.9;707955;;;
Erie County, Ohio;75107;48.8;51.2;46.2;21.6;85.5;9.2;0.1;0.8;0.0;1.0;4.4;83.2;8.3;58905;;;
Erie County, Pennsylvania;276207;49.4;50.6;39.2;16.5;87.5;7.3;0.2;1.8;0.1;0.7;4.1;84.6;7.0;210900;;;
Escambia County, Florida;315187;49.6;50.4;37.3;16.4;68.8;22.3;0.5;3.1;0.0;1.2;5.6;64.6;22.2;242911;;;
Essex County, Massachusetts;779018;48.3;51.7;41.3;16.4;81.6;4.0;0.2;3.5;0.0;8.2;20.0;71.4;3.1;560991;;;
Essex County, New Jersey;796914;48.1;51.9;37.2;12.9;44.6;39.8;0.2;5.3;0.0;7.4;22.7;31.1;38.6;526739;;;
Etowah County, Alabama;102564;48.6;51.4;41.2;18.2;81.1;16.0;0.5;0.8;0.0;0.1;3.8;78.0;15.3;77641;;;
Fairbanks North Star Borough, Alaska;100605;55.3;44.7;30.6;8.6;75.0;4.4;7.4;3.9;0.5;2.3;7.9;70.1;4.2;73158;;;
Fairfax County, Virginia;1138652;49.6;50.4;38.1;12.4;61.9;9.7;0.2;19.1;0.1;4.7;16.1;51.2;9.5;723138;;;
Fairfield County, Connecticut;944177;48.7;51.3;40.4;14.8;73.8;11.7;0.3;5.3;0.1;5.6;19.4;62.1;10.6;627232;;;
Fairfield County, Ohio;152597;50.0;50.0;40.2;15.0;87.5;7.3;0.3;1.0;0.0;0.9;2.1;86.8;7.3;114299;;;
Faulkner County, Arkansas;122227;48.5;51.5;33.1;12.0;82.1;10.4;0.2;1.1;0.6;2.3;4.0;80.8;10.4;91659;;;
Fauquier County, Virginia;69069;49.8;50.2;41.5;15.8;86.5;7.2;0.5;1.9;0.0;0.5;7.8;80.6;7.2;49965;;;
Fayette County, Georgia;111627;48.3;51.7;43.3;17.3;68.8;21.4;0.2;4.4;0.0;1.9;7.1;63.4;21.3;80611;;;
Fayette County, Kentucky;318449;49.1;50.9;34.4;12.1;75.0;14.5;0.3;3.7;0.1;3.2;6.9;71.0;14.3;232399;;;
Fayette County, Pennsylvania;132733;49.3;50.7;44.8;19.8;92.5;4.0;0.0;0.2;0.0;0.4;1.1;92.0;4.0;106420;;;
Flagler County, Florida;108310;48.4;51.6;51.1;30.7;83.3;10.9;0.0;2.6;0.0;2.0;10.3;74.6;10.8;86628;;;
Flathead County, Montana;98082;49.3;50.7;42.3;17.9;94.5;0.3;0.9;0.3;0.2;0.7;2.6;93.1;0.3;75522;;;
Florence County, South Carolina;138742;46.5;53.5;39.0;16.1;54.4;42.9;0.1;1.3;0.0;0.2;2.6;52.2;42.9;103787;;;
Floyd County, Georgia;96560;48.7;51.3;38.7;16.1;77.1;14.1;0.0;1.7;0.0;4.9;10.8;70.4;14.1;68172;;;
Floyd County, Indiana;76990;49.1;50.9;40.4;15.7;90.7;5.1;0.2;1.0;0.0;0.3;3.1;88.1;5.1;58684;;;
Fond du Lac County, Wisconsin;102144;48.8;51.2;41.0;17.4;92.1;0.7;0.5;1.5;0.0;3.0;5.1;90.1;0.7;76926;;;
Forrest County, Mississippi;75979;46.7;53.3;31.9;13.0;N;N;N;N;N;N;2.9;N;N;57392;;;
Forsyth County, Georgia;221009;49.6;50.4;38.7;12.1;81.2;3.4;0.2;11.7;0.0;1.5;9.3;73.7;3.3;139318;;;
Forsyth County, North Carolina;371511;47.6;52.4;38.0;15.0;66.2;26.3;0.4;2.3;0.0;2.4;12.7;57.0;25.8;266996;;;
Fort Bend County, Texas;741237;49.1;50.9;36.0;10.4;52.5;20.5;0.4;19.8;0.0;4.6;24.2;34.0;20.2;450808;;;
Franklin County, Massachusetts;70382;48.9;51.1;45.9;19.6;93.3;1.0;0.4;1.0;0.4;0.8;3.8;91.0;0.8;56402;;;
Franklin County, Missouri;102838;50.3;49.7;40.9;16.6;96.2;0.8;0.1;0.6;0.3;0.6;1.7;N;N;78431;;;
Franklin County, Ohio;1264518;48.8;51.2;34.0;11.3;67.6;22.2;0.2;5.0;0.1;1.2;5.3;64.1;21.9;905381;;;
Franklin County, Pennsylvania;153851;49.8;50.2;41.8;19.0;92.8;4.2;0.3;1.1;0.0;0.4;5.5;88.3;4.0;116720;;;
Franklin County, Washington;90160;51.6;48.4;29.3;8.0;60.7;1.9;0.8;2.0;0.8;29.8;53.0;40.7;1.4;45487;;;
Frederick County, Maryland;247591;49.2;50.8;39.3;13.7;81.1;10.4;0.5;4.7;0.0;0.9;9.1;74.3;9.8;177210;;;
Frederick County, Virginia;84421;49.5;50.5;40.9;16.1;90.7;3.2;0.5;1.4;0.0;1.0;8.0;84.2;3.2;62355;;;
Fresno County, California;979915;49.9;50.1;32.1;11.8;65.4;4.9;1.0;10.4;0.1;14.7;52.8;29.9;4.6;580677;;;
Fulton County, Georgia;1023336;48.4;51.6;35.4;11.1;44.5;43.7;0.9;6.7;0.1;1.2;7.3;40.0;43.2;716846;;;
Gallatin County, Montana;104502;51.9;48.1;33.7;12.0;95.0;0.4;1.1;1.4;0.0;0.0;3.4;92.1;0.4;80969;;;
Galveston County, Texas;329431;49.3;50.7;37.1;13.4;78.4;13.2;0.8;3.5;0.0;2.2;24.1;57.8;12.8;229538;;;
Garland County, Arkansas;97477;48.2;51.8;44.0;22.0;86.4;8.7;1.0;1.1;0.0;1.4;5.4;82.4;8.7;74290;;;
Gaston County, North Carolina;216965;48.2;51.8;39.8;15.6;77.4;15.8;0.5;1.7;0.0;2.4;6.8;73.3;15.7;162624;;;
Geauga County, Ohio;94060;49.3;50.7;44.9;19.0;N;N;N;N;N;N;1.4;95.7;1.4;71500;;;
Genesee County, Michigan;408615;48.1;51.9;39.9;16.5;74.6;19.9;0.4;1.0;0.1;0.6;3.4;72.3;19.6;311157;;;
Gloucester County, New Jersey;292330;48.5;51.5;39.7;15.0;81.3;10.2;0.1;3.1;0.0;2.1;6.0;78.9;10.0;221580;;;
Glynn County, Georgia;84502;47.0;53.0;41.0;18.0;68.8;25.3;0.4;1.3;0.2;1.3;6.9;63.5;25.0;61688;;;
Grafton County, New Hampshire;88888;49.2;50.8;43.1;19.8;92.6;1.1;0.2;3.9;0.0;0.3;2.3;91.0;1.1;72254;;;
Grand Forks County, North Dakota;71083;51.6;48.4;29.9;11.9;87.8;4.0;2.5;2.5;0.0;0.1;4.0;84.6;4.0;55122;;;
Grand Traverse County, Michigan;92084;48.5;51.5;43.4;18.7;94.9;1.0;1.0;0.5;0.1;0.4;2.8;92.2;1.0;71655;;;
Grant County, Indiana;66937;48.3;51.7;39.9;18.7;88.1;7.4;0.4;0.4;0.0;1.0;4.2;85.2;7.4;52638;;;
Grant County, Washington;93546;50.3;49.7;32.9;13.5;63.3;0.6;0.9;0.8;0.0;28.5;41.0;54.5;0.6;53723;;;
Grays Harbor County, Washington;71628;52.7;47.3;43.9;20.1;87.1;1.7;4.2;1.8;0.2;0.7;9.9;79.4;1.7;55524;;;
Grayson County, Texas;128235;48.9;51.1;40.0;17.6;86.6;4.3;1.1;1.4;0.0;2.4;13.0;76.1;4.3;94379;;;
Greene County, Missouri;288690;48.9;51.1;36.0;15.9;89.4;3.5;0.8;2.0;0.0;1.7;3.6;87.7;3.5;223554;;;
Greene County, Ohio;164765;48.8;51.2;38.6;16.3;85.6;7.1;0.1;3.0;0.0;1.0;2.8;83.8;7.0;126541;;;
Greene County, Tennessee;68615;49.5;50.5;44.9;21.2;94.6;2.0;0.2;0.3;0.0;0.5;2.8;93.2;2.0;55232;;;
Greenville County, South Carolina;498766;48.5;51.5;38.1;15.1;74.6;18.3;0.4;2.3;0.1;2.3;9.0;68.7;18.1;361035;;;
Greenwood County, South Carolina;70133;45.8;54.2;37.8;17.5;65.1;30.4;0.0;1.3;0.0;1.8;6.1;N;N;51462;;;
Gregg County, Texas;123745;49.4;50.6;35.5;14.6;74.5;20.8;0.4;1.5;0.0;0.8;18.6;57.7;20.3;82987;;;
Guadalupe County, Texas;155265;49.4;50.6;37.0;13.6;68.6;7.1;0.1;2.0;1.1;18.1;37.6;50.9;6.8;109463;;;
Guilford County, North Carolina;521330;47.4;52.6;37.1;14.5;55.8;33.6;0.4;5.0;0.1;2.9;7.9;51.0;33.2;376976;;;
Gwinnett County, Georgia;907135;48.9;51.1;35.2;9.3;48.3;27.4;0.1;11.5;0.0;9.7;20.8;38.1;26.6;541222;;;
Hall County, Georgia;196637;49.6;50.4;36.5;14.3;85.8;7.5;0.2;1.8;0.1;2.4;28.0;61.3;7.4;120684;;;
Hamilton County, Indiana;316373;48.4;51.6;36.9;11.6;87.3;3.7;0.1;5.5;0.0;0.8;3.9;84.1;3.7;218671;;;
Hamilton County, Ohio;809099;48.2;51.8;37.0;14.7;67.1;25.8;0.1;2.6;0.0;1.5;3.1;65.5;25.6;601314;;;
Hamilton County, Tennessee;357738;48.5;51.5;39.0;16.5;75.8;19.7;0.1;1.9;0.0;0.3;5.4;71.3;19.2;274596;;;
Hampden County, Massachusetts;468467;48.2;51.8;38.9;15.8;82.8;8.7;0.2;2.2;0.0;3.2;24.6;63.5;7.9;351516;;;
Hampshire County, Massachusetts;161816;46.9;53.1;36.6;16.3;88.5;2.4;0.0;4.5;0.2;0.7;5.6;83.8;2.4;131367;;;
Hampton city, Virginia;135410;47.4;52.6;36.2;14.2;41.5;50.8;0.1;2.6;0.4;1.4;5.5;38.5;49.8;105677;;;
Hancock County, Indiana;73717;49.6;50.4;39.9;15.5;N;N;N;N;N;N;2.3;N;N;55649;;;
Hancock County, Ohio;75872;49.1;50.9;38.2;16.6;92.5;1.1;0.0;1.9;0.0;1.8;5.3;89.1;1.1;57222;;;
Hanover County, Virginia;104392;49.5;50.5;44.1;16.6;86.7;8.6;0.3;1.0;0.1;0.2;2.9;84.4;8.6;80542;;;
Hardin County, Kentucky;107316;49.5;50.5;37.3;13.2;78.5;12.6;0.2;1.7;0.3;1.9;5.4;76.2;11.7;79850;;;
Harford County, Maryland;251032;48.8;51.2;41.2;15.4;78.9;13.3;0.2;2.3;0.0;1.2;4.4;76.7;12.8;190660;;;
Harnett County, North Carolina;130881;50.1;49.9;34.0;11.7;66.4;21.0;0.7;0.7;0.2;6.7;12.4;61.9;20.6;92060;;;
Harris County, Texas;4589928;49.7;50.3;33.3;9.8;62.8;19.0;0.3;6.9;0.1;8.6;42.4;30.2;18.6;2652609;;;
Harrison County, Mississippi;203234;49.1;50.9;35.6;13.6;68.6;24.3;0.6;2.8;0.0;0.8;5.4;64.3;24.3;149939;;;
Harrison County, Texas;66534;47.9;52.1;37.2;15.6;N;N;N;N;N;N;13.0;N;N;48010;;;
Harrison County, West Virginia;68400;48.6;51.4;41.8;18.7;N;N;N;N;N;N;1.6;N;N;53475;;;
Hartford County, Connecticut;892389;48.6;51.4;40.6;16.2;71.3;13.5;0.3;5.1;0.0;6.4;17.6;61.9;12.9;653961;;;
Hawaii County, Hawaii;198449;49.9;50.1;42.6;19.1;32.6;0.8;0.1;23.9;13.6;1.2;12.6;30.2;0.7;146839;;;
Hays County, Texas;204470;49.0;51.0;31.2;10.5;90.1;4.2;0.2;1.6;0.0;1.8;38.1;54.5;4.0;147783;;;
Henderson County, North Carolina;114209;47.9;52.1;47.3;25.6;93.0;4.6;0.0;1.4;0.0;0.3;9.9;83.7;4.2;87561;;;
Henderson County, Texas;79901;48.1;51.9;43.7;21.4;90.0;6.0;1.2;0.1;0.3;0.5;12.2;78.6;6.0;57965;;;
Hendricks County, Indiana;160610;49.6;50.4;36.8;12.9;87.1;8.3;0.3;2.8;0.0;0.5;3.8;85.2;6.8;116450;;;
Hennepin County, Minnesota;1232483;49.4;50.6;36.3;13.2;72.5;12.9;0.8;7.0;0.0;3.3;6.9;69.4;12.7;879517;;;
Henrico County, Virginia;326501;47.1;52.9;38.8;14.8;57.7;29.4;0.2;8.3;0.1;1.2;5.3;54.0;29.2;234407;;;
Henry County, Georgia;221768;47.8;52.2;36.5;10.8;49.9;42.7;0.0;3.6;0.0;1.2;6.6;45.1;42.2;155930;;;
Hernando County, Florida;182835;47.9;52.1;49.0;27.6;88.8;5.4;0.1;1.2;0.0;1.5;12.4;78.6;4.5;144879;;;
Hidalgo County, Texas;849843;48.9;51.1;29.2;11.0;84.4;0.3;0.2;1.1;0.0;12.5;91.8;6.6;0.3;417432;;;
Highlands County, Florida;100917;47.4;52.6;54.4;34.1;78.0;10.3;0.1;1.3;0.0;8.9;19.1;68.0;10.0;76530;;;
Hillsborough County, Florida;1376238;48.7;51.3;37.0;13.7;70.6;16.6;0.3;4.0;0.1;5.0;27.6;50.0;15.4;944778;;;
Hillsborough County, New Hampshire;407761;50.0;50.0;40.4;14.9;90.1;2.4;0.1;3.6;0.0;1.3;6.5;85.2;2.2;306263;;;
Hinds County, Mississippi;241229;46.7;53.3;34.4;13.0;25.5;72.5;0.1;0.8;0.1;0.6;1.6;24.7;72.2;178469;;;
Honolulu County, Hawaii;992605;50.6;49.4;37.5;16.6;21.1;2.3;0.2;42.4;9.4;0.8;9.7;18.5;2.2;707435;;;
Horry County, South Carolina;322342;48.2;51.8;45.3;22.2;80.9;13.7;0.5;1.4;0.1;2.1;6.0;77.1;13.5;252956;;;
