"City","Population","CO","O3"
"Akron, OH",703200,3,0.069
"Albany-Schenectady-Troy, NY",870716,2,0.067
"Albuquerque, NM",887077,2,0.075
"Anchorage, AK",380821,4,0.047
"Atlanta-Sandy Springs-Roswell, GA",5286728,3,0.072
"Austin-Round Rock, TX",1716289,2,0.072
"Bakersfield, CA",839631,2,0.096
"Baltimore-Columbia-Towson, MD",2710489,2,0.075
"Baton Rouge, LA",802484,3,0.074
"Beaumont-Port Arthur, TX",403190,2,0.073
"Beaver Dam, WI",88759,1,0.069
"Birmingham-Hoover, AL",1128047,2,0.07
"Bishop, CA",3879,2,0.078
"Bismarck, ND",114778,1,0.063
"Boise City, ID",616561,3,0.068
"Boston-Cambridge-Newton, MA-NH",4552402,2,0.07
"Bowling Green, KY",158599,1,0.062
"Bridgeport-Stamford-Norwalk, CT",916829,2,0.086
"Buffalo-Cheektowaga-Niagara Falls, NY",1135509,2,0.069
"Burlington-South Burlington, VT",211261,2,0.062
"Canton-Massillon, OH",404422,2,0.07
"Cedar Rapids, IA",257940,2,0.069
"Champaign-Urbana, IL",231891,1,0.072
"Charleston, WV",227078,2,0.066
"Charlotte-Concord-Gastonia, NC-SC",2217012,2,0.07
"Cheyenne, WY",91738,1,0.068
"Chicago-Naperville-Elgin, IL-IN-WI",9461105,3,0.084
"Chico, CA",220000,6,0.084
"Cincinnati, OH-KY-IN",2114580,3,0.08
"Cleveland-Elyria, OH",2077240,4,0.076
"Colorado Springs, CO",645613,3,0.073
"Columbia, SC",767598,2,0.063
"Columbus, OH",1901974,2,0.067
"Corning, NY",98990,1,0.064
"Dallas-Fort Worth-Arlington, TX",6426214,2,0.082
"Davenport-Moline-Rock Island, IA-IL",379690,2,0.071
"Dayton, OH",799232,2,0.073
"Denver-Aurora-Lakewood, CO",2543482,4,0.083
"Des Moines-West Des Moines, IA",569633,2,0.065
"Detroit-Warren-Dearborn, MI",4296250,3,0.077
"Durango, CO",51334,2,0.071
"El Centro, CA",174528,4,0.076
"El Paso, TX",804123,3,0.078
"Erie, PA",280566,2,0.062
"Eureka-Arcata-Fortuna, CA",134623,2,0.049
"Evansville, IN-KY",311552,2,0.07
"Fairbanks, AK",97581,3,0.041
"Fort Collins, CO",299630,3,0.081
"Fresno, CA",930450,3,0.088
"Gettysburg, PA",101407,1,0.068
"Grand Junction, CO",146723,2,0.069
"Grand Rapids-Wyoming, MI",988938,2,0.073
"Greeley, CO",252825,2,0.073
"Hartford-West Hartford-East Hartford, CT",1212381,2,0.077
"Helena, MT",74801,2,0.062
"Houston-The Woodlands-Sugar Land, TX",5920416,3,0.088
"Indianapolis-Carmel-Anderson, IN",1887877,3,0.076
"Jackson, MS",567122,3,0.068
"Jackson, WY-ID",31464,1,0.064
"Jacksonville, FL",1345596,2,0.061
"Johnstown, PA",143679,2,0.059
"Kansas City, MO-KS",2009342,2,0.074
"Knoxville, TN",837571,1,0.067
"Laredo, TX",250304,3,0.058
"Las Vegas-Henderson-Paradise, NV",1951269,4,0.081
"Little Rock-North Little Rock-Conway, AR",699757,2,0.067
"Los Angeles-Long Beach-Anaheim, CA",12828837,4,0.102
"Louisville/Jefferson County, KY-IN",1235708,2,0.077
"Madera, CA",150865,2,0.076
"Manchester-Nashua, NH",400721,1,0.066
"Memphis, TN-MS-AR",1324829,2,0.073
"Miami-Fort Lauderdale-West Palm Beach, FL",5564635,2,0.066
"Milwaukee-Waukesha-West Allis, WI",1555908,2,0.073
"Minneapolis-St. Paul-Bloomington, MN-WI",3348859,5,0.069
"Modesto, CA",514453,3,0.084
"Napa, CA",136484,2,0.054
"Nashville-Davidson--Murfreesboro--Franklin, TN",1670890,3,0.071
"New Haven-Milford, CT",862477,2,0.077
"New Orleans-Metairie, LA",1189866,3,0.07
"New York-Newark-Jersey City, NY-NJ-PA",19567410,4,0.079
"Ogden-Clearfield, UT",597159,2,0.08
"Oklahoma City, OK",1252987,3,0.076
"Omaha-Council Bluffs, NE-IA",865350,2,0.07
"Orlando-Kissimmee-Sanford, FL",2134411,2,0.067
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",5965343,2,0.084
"Phoenix-Mesa-Scottsdale, AZ",4192887,4,0.08
"Pittsburgh, PA",2356285,4,0.074
"Port Angeles, WA",71404,2,0.058
"Portland-South Portland, ME",514098,2,0.068
"Portland-Vancouver-Hillsboro, OR-WA",2226009,3,0.07
"Providence-Warwick, RI-MA",1600852,3,0.079
"Provo-Orem, UT",526810,2,0.079
"Raleigh, NC",1130490,2,0.063
"Reno, NV",425417,3,0.078
"Richmond, VA",1208101,2,0.066
"Riverside-San Bernardino-Ontario, CA",4224851,3,0.111
"Roanoke, VA",308707,2,0.062
"Rochester, NY",1079671,2,0.071
"Rutland, VT",61642,2,0.063
"Sacramento--Roseville--Arden-Arcade, CA",2149127,5,0.098
"St. Louis, MO-IL",2787701,2,0.077
"Salinas, CA",415057,2,0.054
"Salt Lake City, UT",1087873,4,0.08
"San Antonio-New Braunfels, TX",2142508,2,0.073
"San Diego-Carlsbad, CA",3095313,2,0.08
"San Francisco-Oakland-Hayward, CA",4335391,4,0.069
"San Jose-Sunnyvale-Santa Clara, CA",1836911,3,0.066
"San Juan-Carolina-Caguas, PR",2350126,4,0.017
"Santa Maria-Santa Barbara, CA",423895,2,0.065
"Santa Rosa, CA",483878,2,0.055
"Scranton--Wilkes-Barre--Hazleton, PA",563631,2,0.067
"Seattle-Tacoma-Bellevue, WA",3439809,2,0.077
"Sioux Falls, SD",228261,2,0.069
"Stockton-Lodi, CA",685306,3,0.075
"Tallahassee, FL",367413,2,0.06
"Tampa-St. Petersburg-Clearwater, FL",2783243,2,0.07
"Torrington, CT",189927,1,0.071
"Tucson, AZ",980263,2,0.071
"Tulsa, OK",937478,2,0.073
"Urban Honolulu, HI",953207,4,0.049
"Vallejo-Fairfield, CA",413344,3,0.061
"Virginia Beach-Norfolk-Newport News, VA-NC",1676822,2,0.063
"Waco, TX",252772,1,0.068
"Washington-Arlington-Alexandria, DC-VA-MD-WV",5636232,3,0.073
"Wheeling, WV-OH",147950,2,0.066
"Worcester, MA-CT",916980,2,0.072
"Yuba City, CA",166892,4,0.08
